,collegeName,country,dateOfBirthUTC,draft_pickNum,draft_roundNum,draft_seasonYear,draft_teamId,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,weightKilograms,weightPounds,yearsPro
0,,Spain,1993-08-01,32,2,2013,1610612760,Alex,6,6,1.98,True,8,Spain/Spain,Abrines,2016,203518,G,1610612760,90.7,200,2
1,Baylor,USA,1990-10-06,37,2,2012,1610612761,Quincy,6,7,2.01,True,4,Baylor/USA,Acy,2012,203112,F,1610612756,108.9,240,6
2,St. Bonaventure,USA,1996-05-04,,,,,Jaylen,6,2,1.88,True,10,St. Bonaventure/USA,Adams,2018,1629121,G,1610612737,86.2,190,0
3,Pittsburgh,New Zealand,1993-07-20,12,1,2013,1610612760,Steven,7,0,2.13,True,12,Pittsburgh/New Zealand,Adams,2013,203500,C,1610612760,120.2,265,5
4,Kentucky,USA,1997-07-18,14,1,2017,1610612748,Bam,6,10,2.08,True,13,Kentucky/USA,Adebayo,2017,1628389,C-F,1610612748,115.7,255,1
5,,South Sudan,1997-02-01,,,,,Deng,6,7,2.01,True,32, South Sudan/South Sudan,Adel,,1629061,F,1610612739,90.7,200,0
6,Texas,USA,1985-07-19,2,1,2006,1610612741,LaMarcus,6,11,2.11,True,12,Texas/USA,Aldridge,2006,200746,F,1610612759,117.9,260,12
7,,USA,1997-10-29,,,,,Rawle,6,5,1.96,True,20, USA/USA,Alkins,2018,1628959,G,1610612741,102.1,225,0
8,Duke,USA,1995-10-08,21,1,2018,1610612762,Grayson,6,5,1.96,True,24,Duke University/USA,Allen,2018,1628960,G,1610612762,89.8,198,0
9,Texas,USA,1998-04-21,22,1,2017,1610612751,Jarrett,6,11,2.11,True,31,Texas/USA,Allen,2017,1628386,C,1610612751,107.5,237,1
10,Arizona,USA,1993-01-15,53,2,2017,1610612738,Kadeem,6,3,1.9,True,0,ArizonaUSA/USA,Allen,2017,1628443,G,1610612752,90.7,200,1
11,Wake Forest,USA,1990-09-21,8,1,2010,1610612746,Al-Farouq,6,9,2.06,True,8,Wake Forest/USA,Aminu,2010,202329,F,1610612757,99.8,220,8
12,Virginia,USA,1993-11-19,21,1,2015,1610612742,Justin,6,6,1.98,True,1,Virginia/USA,Anderson,2015,1626147,G-F,1610612737,104.3,230,3
13,UCLA,USA,1993-09-20,30,1,2014,1610612759,Kyle,6,9,2.06,True,1,UCLA/USA,Anderson,2014,203937,F,1610612763,104.3,230,4
14,California,USA,1988-05-06,21,1,2008,1610612751,Ryan,6,10,2.08,True,15,California/USA,Anderson,2008,201583,F,1610612756,108.9,240,10
15,California-Los Angeles,USA,1998-10-16,47,2,2017,1610612754,Ike,6,10,2.08,True,13,UCLA/USA,Anigbogu,2017,1628387,C,1610612754,113.4,250,1
16,Greece,Greece,1994-12-06,15,1,2013,1610612749,Giannis,6,11,2.11,True,34,Greece/Greece,Antetokounmpo,2013,203507,F,1610612749,109.8,242,5
17,Dayton,Greece,1997-11-20,60,2,2018,1610612755,Kostas,6,10,2.08,True,37,University of Dayton/Greece,Antetokounmpo,,1628961,F,1610612742,90.7,200,0
18,Syracuse,USA,1984-05-29,3,1,2003,1610612743,Carmelo,6,8,2.03,True,7,Syracuse/USA,Anthony,2003,2546,F,1610612745,108.9,240,15
19,Indiana,United Kingdom,1997-07-17,23,1,2017,1610612761,OG,6,8,2.03,True,3,Indiana/United Kingdom,Anunoby,2017,1628384,F,1610612761,105.2,232,1
20,Villanova,USA,1994-03-26,,,,,Ryan,6,3,1.9,True,51,Villanova/USA,Arcidiacono,2017,1627853,G,1610612741,90.7,200,1
21,UCLA,USA,1985-06-30,43,2,2004,1610612752,Trevor,6,8,2.03,True,1,UCLA/USA,Ariza,2004,2772,F,1610612764,97.5,215,14
22,Texas,USA,1987-11-10,9,1,2008,1610612766,D.J.,6,0,1.83,True,14,Texas/USA,Augustin,2008,201571,G,1610612753,83.0,183,10
23,Arizona,Bahamas,1998-07-23,1,1,2018,1610612756,Deandre,7,1,2.16,True,22,University of Arizona/Bahamas,Ayton,2018,1629028,C,1610612756,113.4,250,0
24,Florida State,USA,1995-08-30,40,2,2017,1610612740,Dwayne,6,7,2.01,True,7,Florida State/USA,Bacon,2017,1628407,G-F,1610612766,100.2,221,1
25,Duke,USA,1999-03-14,2,1,2018,1610612758,Marvin,6,11,2.11,True,35,Duke University/USA,Bagley III,2018,1628963,F,1610612758,106.1,234,0
26,Vanderbilt,USA,1996-03-29,17,1,2016,1610612763,Wade,6,4,1.93,True,2,Vanderbilt/USA,Baldwin IV,2016,1627735,G,1610612757,90.7,200,2
27,California-Los Angeles,USA,1997-10-27,2,1,2017,1610612747,Lonzo,6,6,1.98,True,2,UCLA/USA,Ball,2017,1628366,G,1610612747,86.2,190,1
28,Texas,USA,1998-05-12,6,1,2018,1610612753,Mo,7,0,2.13,True,5,University of Texas at Austin/USA,Bamba,2018,1628964,C,1610612753,100.2,221,0
29,Northeastern,Puerto Rico,1984-06-26,,,,,J.J.,6,0,1.83,True,5,Northeastern/Puerto Rico,Barea,2006,200826,G,1610612742,83.9,185,12
30,North Carolina,USA,1992-05-30,7,1,2012,1610612744,Harrison,6,8,2.03,True,40,North Carolina/USA,Barnes,2012,203084,F,1610612742,102.1,225,6
31,Memphis,USA,1991-01-06,40,2,2012,1610612757,Will,6,6,1.98,True,5,Memphis/USA,Barton,2012,203115,G,1610612743,86.2,190,6
32,Ohio State,USA,1996-01-23,48,2,2018,1610612750,Keita,6,9,2.06,True,31,Ohio State University/USA,Bates-Diop,2018,1628966,F,1610612750,103.9,229,0
33,"Lisieux, France",France,1988-12-14,25,1,2008,1610612745,Nicolas,6,8,2.03,True,5,Le Mans/France,Batum,2008,201587,F-G,1610612766,90.7,200,10
34,Arizona,USA,1988-08-20,11,1,2008,1610612754,Jerryd,6,3,1.9,True,8,Arizona/USA,Bayless,2008,201573,G,1610612750,90.7,200,10
35,Washington State,Australia,1986-12-09,,,,,Aron,6,10,2.08,True,46,Washington State/Australia,Baynes,2012,203382,C-F,1610612738,117.9,260,6
36,Old Dominion,USA,1989-07-01,,,,,Kent,6,5,1.96,True,24,Old Dominion/USA,Bazemore,2012,203145,G,1610612737,91.2,201,6
37,Florida,USA,1993-06-28,3,1,2012,1610612764,Bradley,6,5,1.96,True,3,Florida/USA,Beal,2012,203078,G,1610612764,93.9,207,6
38,Florida State,USA,1996-11-26,19,1,2016,1610612743,Malik,6,5,1.96,True,25,Florida State/USA,Beasley,2016,1627736,G,1610612743,88.5,195,2
39,Kansas State,USA,1989-01-09,2,1,2008,1610612748,Michael,6,9,2.06,True,11,Kansas State/USA,Beasley,2008,201563,F,1610612747,106.6,235,10
40,"Bologna, Italy",Italy,1986-03-25,18,1,2007,1610612744,Marco,6,5,1.96,True,18,Fortitudo Bologna/Italy,Belinelli,2007,201158,G-F,1610612759,95.3,210,11
41,Oregon,USA,1995-01-07,38,2,2017,1610612741,Jordan,6,9,2.06,True,2,Oregon/USA,Bell,2017,1628395,F,1610612744,101.6,224,1
42,Saint Joseph's,USA,1994-07-04,21,1,2016,1610612737,DeAndre',6,6,1.98,True,95,St. Joseph's (PA)/USA,Bembry,2016,1627761,F,1610612737,95.3,210,2
43,,Croatia,1997-11-17,4,1,2016,1610612756,Dragan,7,1,2.16,True,35,Croatia/Croatia,Bender,2016,1627733,F,1610612756,102.1,225,2
44,,Latvia,1992-11-12,42,2,2011,1610612754,Davis,6,10,2.08,True,42, Latvia/Latvia,Bertans,2016,202722,F,1610612759,102.1,225,2
45,Arkansas,USA,1988-07-12,42,2,2009,1610612747,Patrick,6,1,1.85,True,21,Arkansas/USA,Beverley,2012,201976,G,1610612746,83.9,185,6
46,Nevada-Las Vegas,Canada,1992-09-28,,,,,Khem,6,9,2.06,True,24,Nevada-Las Vegas/Canada,Birch,2017,203920,C,1610612753,105.7,233,1
47,California,USA,1994-07-03,56,2,2017,1610612738,Jabari,6,6,1.98,True,26,California/USA,Bird,2017,1628444,G,1610612738,89.8,198,1
48,"Lubumbashi, DR Congo",Democratic Republic of the Congo,1992-08-28,7,1,2011,1610612758,Bismack,6,9,2.06,True,8,Baloncesto Fuenlabrada/Democratic Republic of Cong,Biyombo,2011,202687,C,1610612766,115.7,255,7
49,,Serbia,1988-05-09,35,2,2010,1610612764,Nemanja,6,10,2.08,True,88,Fenerbahce Ulker/Serbia,Bjelica,2015,202357,F,1610612758,106.1,234,3
50,Louisiana State,USA,1996-10-04,,,,,Antonio,6,4,1.93,True,9,Louisiana State/USA,Blakeney,2017,1628469,G,1610612741,87.1,192,1
51,Kentucky,USA,1989-12-09,18,1,2010,1610612760,Eric,6,1,1.85,True,6,Kentucky/USA,Bledsoe,2010,202339,G,1610612749,93.0,205,8
52,Clemson,USA,1993-09-16,59,2,2017,1610612759,Jaron,6,8,2.03,True,4,Clemson/USA,Blossomgame,2018,1628417,F,1610612739,99.8,220,0
53,Xavier (Ohio),USA,1994-11-04,,,,,Trevon,6,6,1.98,True,5,Xavier (Ohio)/USA,Bluiett,,1629129,G-F,1610612740,89.8,198,0
54,,Serbia,1992-08-18,27,1,2014,1610612756,Bogdan,6,6,1.98,True,8, Serbia/Serbia,Bogdanovic,2017,203992,G,1610612758,93.0,205,1
55,,Croatia,1989-04-18,31,2,2011,1610612748,Bojan,6,8,2.03,True,44,Croatia/Croatia,Bogdanovic,2014,202711,F,1610612754,98.0,216,4
56,,Australia,1996-01-02,36,2,2017,1610612755,Jonah,6,10,2.08,True,43,Australia/Australia,Bolden,2018,1628413,F,1610612755,99.8,220,0
57,,Germany,1999-11-08,39,2,2018,1610612755,Isaac,6,8,2.03,True,17,Germany/Germany,Bonga,2018,1629067,G,1610612747,81.6,180,0
58,Kentucky,USA,1996-10-30,13,1,2015,1610612756,Devin,6,6,1.98,True,1,Kentucky/USA,Booker,2015,1626164,G,1610612756,95.3,210,3
59,Oregon,Canada,1993-01-11,,,,,Chris,6,10,2.08,True,25,Oregon/Canada,Boucher,2017,1628449,F,1610612761,90.7,200,1
60,Texas,USA,1990-11-26,19,1,2010,1610612738,Avery,6,2,1.88,True,11,Texas/USA,Bradley,2010,202340,G,1610612746,81.6,180,8
61,North Carolina,USA,1998-01-08,28,1,2017,1610612747,Tony,6,10,2.08,True,13,North Carolina/USA,Bradley,2017,1628396,C,1610612762,112.5,248,1
62,Florida,USA,1986-03-05,7,1,2007,1610612750,Corey,6,9,2.06,True,00,Florida/USA,Brewer,2007,201147,G-F,1610612755,84.4,186,11
63,Villanova,USA,1996-08-30,10,1,2018,1610612755,Mikal,6,7,2.01,True,25,Villanova University/USA,Bridges,2018,1628969,F,1610612756,95.3,210,0
64,Michigan State,USA,1998-03-21,12,1,2018,1610612746,Miles,6,7,2.01,True,0,Michigan State University/USA,Bridges,2018,1628970,F,1610612766,102.1,225,0
65,,USA,1996-04-13,,,,,Isaiah,6,3,1.9,True,13, USA/USA,Briscoe,2018,1628515,G,1610612753,97.5,215,0
66,,Australia,1990-08-23,,,,,Ryan,6,7,2.01,True,45,Australia/Australia,Broekhoff,2018,1629151,G-F,1610612742,97.5,215,0
67,Virginia,USA,1992-12-11,36,2,2016,1610612749,Malcolm,6,5,1.96,True,13,Virginia/USA,Brogdon,2016,1627763,G,1610612749,103.9,229,2
68,Oregon,Canada,1996-01-22,45,2,2017,1610612745,Dillon,6,6,1.98,True,24,Oregon/Canada,Brooks,2017,1628415,G-F,1610612763,99.8,220,1
69,Miami (FL),USA,1996-08-15,42,2,2018,1610612765,Bruce,6,5,1.96,True,6,University of Miami/USA,Brown,2018,1628971,G,1610612765,91.6,202,0
70,California,USA,1996-10-24,3,1,2016,1610612738,Jaylen,6,7,2.01,True,7,California/USA,Brown,2016,1627759,G,1610612738,99.8,220,2
71,Southern Methodist,USA,1995-02-10,46,2,2017,1610612755,Sterling,6,6,1.98,True,23,Southern Methodist/USA,Brown,2017,1628425,G,1610612749,105.2,232,1
72,Oregon,USA,1999-07-28,15,1,2018,1610612764,Troy,6,7,2.01,True,6,University of Oregon/USA,Brown Jr.,2018,1628972,F,1610612764,97.5,215,0
73,Villanova,USA,1996-08-31,33,2,2018,1610612742,Jalen,6,3,1.9,True,13,Villanova University/USA,Brunson,2018,1628973,G,1610612742,86.2,190,0
74,Indiana,USA,1997-07-31,42,2,2017,1610612762,Thomas,6,11,2.11,True,13,Indiana/USA,Bryant,2017,1628418,C,1610612764,112.5,248,1
75,North Carolina,USA,1991-03-16,25,1,2013,1610612746,Reggie,6,7,2.01,True,25,North Carolina/USA,Bullock,2013,203493,G-F,1610612765,93.0,205,5
76,Michigan,USA,1992-11-12,9,1,2013,1610612750,Trey,6,1,1.85,True,23,Michigan/USA,Burke,2013,203504,G,1610612752,79.4,175,5
77,Colorado,USA,1991-07-20,12,1,2011,1610612762,Alec,6,6,1.98,True,10,Colorado/USA,Burks,2011,202692,G,1610612739,97.1,214,7
78,Iowa State,USA,1994-01-31,,,,,Deonte,6,5,1.96,True,30,Iowa State/USA,Burton,2018,1629126,G,1610612760,111.1,245,0
79,Marquette,USA,1989-09-14,30,1,2011,1610612741,Jimmy,6,8,2.03,True,23,Marquette/USA,Butler,2011,202710,G-F,1610612755,105.2,232,7
80,"Villanueva de la Serena, Spain",Spain,1981-09-28,,,,,Jose,6,3,1.9,True,81,Tau Ceramica/Spain,Calderon,2005,101181,G,1610612765,90.7,200,13
81,Georgia,USA,1993-02-18,8,1,2013,1610612765,Kentavious,6,5,1.96,True,1,Georgia/USA,Caldwell-Pope,2013,203484,G,1610612747,93.0,205,5
82,,Switzerland,1994-05-18,25,1,2014,1610612745,Clint,6,10,2.08,True,15,Switzerland/Switzerland,Capela,2014,203991,C,1610612745,108.9,240,4
83,Missouri,USA,1986-07-27,27,1,2009,1610612763,DeMarre,6,8,2.03,True,9,Missouri/USA,Carroll,2009,201960,F,1610612751,97.5,215,9
84,West Virginia,USA,1995-09-14,32,2,2018,1610612763,Jevon,6,2,1.88,True,3,West Virginia University/USA,Carter,2018,1628975,G,1610612763,88.9,196,0
85,North Carolina,USA,1977-01-26,5,1,1998,1610612744,Vince,6,6,1.98,True,15,North Carolina/USA,Carter,1998,1713,F-G,1610612737,99.8,220,20
86,Duke,USA,1999-04-16,7,1,2018,1610612741,Wendell,6,10,2.08,True,34,Duke University/USA,Carter Jr.,2018,1628976,F,1610612741,115.7,255,0
87,Texas A&M,USA,1994-02-28,,,,,Alex,6,5,1.96,True,4,Texas A&M/USA,Caruso,2017,1627936,G,1610612747,84.4,186,1
88,"Yavne, Israel",Israel,1988-06-22,23,1,2009,1610612758,Omri,6,9,2.06,True,18,HapoelIsraelGalilIsraelElyon/Israel,Casspi,2009,201956,F,1610612763,102.1,225,9
89,Kentucky,USA,1993-08-18,6,1,2015,1610612758,Willie,7,0,2.13,True,00,Kentucky/USA,Cauley-Stein,2015,1626161,C,1610612758,108.9,240,3
90,Cincinnati,USA,1995-11-29,,,,,Troy,6,4,1.93,True,3,Cincinnati/USA,Caupain,2018,1628505,G,1610612753,95.3,210,0
91,George Washington,USA,1994-02-09,,,,,Tyler,6,9,2.06,True,34,George Washington/USA,Cavanaugh,2017,1628463,F,1610612762,108.0,238,1
