,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_type
0,42016,1610612759,SAS,San Antonio Spurs,0041600151,2017-04-15,SAS vs. MEM,W,240,41,76,0.539,10,19,0.526,19,25,0.76,8,34,42,16,4,11,10,20,111,29,1,Playoffs
1,42016,1610612763,MEM,Memphis Grizzlies,0041600151,2017-04-15,MEM @ SAS,L,240,31,79,0.392,7,20,0.35,13,17,0.765,8,27,35,17,7,6,9,20,82,-29,1,Playoffs
2,42016,1610612754,IND,Indiana Pacers,0041600111,2017-04-15,IND @ CLE,L,240,40,81,0.494,11,24,0.458,17,20,0.85,12,29,41,21,6,1,13,25,108,-1,1,Playoffs
3,42016,1610612739,CLE,Cleveland Cavaliers,0041600111,2017-04-15,CLE vs. IND,W,240,42,78,0.538,11,28,0.393,14,27,0.519,10,24,34,26,7,2,11,19,109,1,1,Playoffs
4,42016,1610612762,UTA,Utah Jazz,0041600171,2017-04-15,UTA @ LAC,W,240,38,79,0.481,8,19,0.421,13,19,0.684,6,28,34,21,7,4,13,19,97,2,1,Playoffs
5,42016,1610612746,LAC,LA Clippers,0041600171,2017-04-15,LAC vs. UTA,L,240,36,81,0.444,8,24,0.333,15,17,0.882,8,32,40,20,6,4,15,18,95,-2,1,Playoffs
6,42016,1610612749,MIL,Milwaukee Bucks,0041600121,2017-04-15,MIL @ TOR,W,240,38,85,0.447,9,23,0.391,12,15,0.8,9,34,43,22,5,5,5,23,97,14,1,Playoffs
7,42016,1610612761,TOR,Toronto Raptors,0041600121,2017-04-15,TOR vs. MIL,L,240,27,75,0.36,5,23,0.217,24,33,0.727,8,39,47,15,3,4,11,21,83,-14,1,Playoffs
8,42016,1610612757,POR,Portland Trail Blazers,0041600141,2017-04-16,POR @ GSW,L,240,40,93,0.43,11,30,0.367,18,22,0.818,11,27,38,15,8,3,15,25,109,-12,1,Playoffs
9,42016,1610612744,GSW,Golden State Warriors,0041600141,2017-04-16,GSW vs. POR,W,240,43,81,0.531,11,27,0.407,24,28,0.857,9,36,45,26,7,10,16,24,121,12,1,Playoffs
10,42016,1610612738,BOS,Boston Celtics,0041600101,2017-04-16,BOS vs. CHI,L,240,37,86,0.43,14,38,0.368,14,19,0.737,12,24,36,27,9,4,16,20,102,-4,1,Playoffs
11,42016,1610612741,CHI,Chicago Bulls,0041600101,2017-04-16,CHI @ BOS,W,240,39,91,0.429,8,26,0.308,20,23,0.87,20,33,53,22,10,7,19,18,106,4,1,Playoffs
12,42016,1610612745,HOU,Houston Rockets,0041600161,2017-04-16,HOU vs. OKC,W,240,45,91,0.495,10,33,0.303,18,26,0.692,14,42,56,21,8,3,11,19,118,31,1,Playoffs
13,42016,1610612760,OKC,Oklahoma City Thunder,0041600161,2017-04-16,OKC @ HOU,L,240,30,81,0.37,9,29,0.31,18,23,0.783,7,34,41,19,8,5,15,19,87,-31,1,Playoffs
14,42016,1610612764,WAS,Washington Wizards,0041600131,2017-04-16,WAS vs. ATL,W,240,45,100,0.45,8,28,0.286,16,17,0.941,15,27,42,28,8,9,12,25,114,7,1,Playoffs
15,42016,1610612737,ATL,Atlanta Hawks,0041600131,2017-04-16,ATL @ WAS,L,240,34,78,0.436,7,25,0.28,32,39,0.821,13,35,48,18,5,3,21,22,107,-7,1,Playoffs
16,42016,1610612759,SAS,San Antonio Spurs,0041600152,2017-04-17,SAS vs. MEM,W,240,28,61,0.459,9,23,0.391,31,32,0.969,5,34,39,14,4,4,16,13,96,14,1,Playoffs
17,42016,1610612763,MEM,Memphis Grizzlies,0041600152,2017-04-17,MEM @ SAS,L,240,31,82,0.378,7,27,0.259,13,15,0.867,9,26,35,19,8,1,10,22,82,-14,1,Playoffs
18,42016,1610612754,IND,Indiana Pacers,0041600112,2017-04-17,IND @ CLE,L,240,43,84,0.512,8,20,0.4,17,23,0.739,9,24,33,23,14,3,14,21,111,-6,1,Playoffs
19,42016,1610612739,CLE,Cleveland Cavaliers,0041600112,2017-04-17,CLE vs. IND,W,240,42,76,0.553,13,31,0.419,20,23,0.87,7,30,37,19,6,8,19,16,117,6,1,Playoffs
20,42016,1610612741,CHI,Chicago Bulls,0041600102,2017-04-18,CHI @ BOS,W,240,45,89,0.506,10,25,0.4,11,14,0.786,12,32,44,28,12,6,12,17,111,14,1,Playoffs
21,42016,1610612738,BOS,Boston Celtics,0041600102,2017-04-18,BOS vs. CHI,L,240,38,82,0.463,10,33,0.303,11,19,0.579,11,27,38,26,6,4,16,17,97,-14,1,Playoffs
22,42016,1610612746,LAC,LA Clippers,0041600172,2017-04-18,LAC vs. UTA,W,240,44,84,0.524,6,20,0.3,5,8,0.625,8,31,39,26,7,4,11,23,99,8,1,Playoffs
23,42016,1610612762,UTA,Utah Jazz,0041600172,2017-04-18,UTA @ LAC,L,240,32,70,0.457,10,25,0.4,17,22,0.773,3,30,33,15,7,2,14,16,91,-8,1,Playoffs
24,42016,1610612749,MIL,Milwaukee Bucks,0041600122,2017-04-18,MIL @ TOR,L,240,36,87,0.414,11,23,0.478,17,19,0.895,12,28,40,20,6,4,12,16,100,-6,1,Playoffs
25,42016,1610612761,TOR,Toronto Raptors,0041600122,2017-04-18,TOR vs. MIL,W,240,37,77,0.481,14,29,0.483,18,25,0.72,6,34,40,24,6,4,13,22,106,6,1,Playoffs
26,42016,1610612757,POR,Portland Trail Blazers,0041600142,2017-04-19,POR @ GSW,L,240,30,90,0.333,7,34,0.206,14,19,0.737,11,36,47,17,9,7,19,19,81,-29,1,Playoffs
27,42016,1610612744,GSW,Golden State Warriors,0041600142,2017-04-19,GSW vs. POR,W,240,40,91,0.44,10,32,0.313,20,24,0.833,11,43,54,31,8,11,17,17,110,29,1,Playoffs
28,42016,1610612745,HOU,Houston Rockets,0041600162,2017-04-19,HOU vs. OKC,W,240,38,78,0.487,11,29,0.379,28,37,0.757,5,32,37,20,5,8,13,21,115,4,1,Playoffs
29,42016,1610612760,OKC,Oklahoma City Thunder,0041600162,2017-04-19,OKC @ HOU,L,240,40,97,0.412,7,30,0.233,24,28,0.857,17,31,48,20,9,11,7,24,111,-4,1,Playoffs
30,42016,1610612764,WAS,Washington Wizards,0041600132,2017-04-19,WAS vs. ATL,W,240,39,86,0.453,7,22,0.318,24,33,0.727,11,32,43,22,10,10,11,29,109,8,1,Playoffs
31,42016,1610612737,ATL,Atlanta Hawks,0041600132,2017-04-19,ATL @ WAS,L,240,32,79,0.405,4,20,0.2,33,38,0.868,10,31,41,17,6,6,18,26,101,-8,1,Playoffs
32,42016,1610612739,CLE,Cleveland Cavaliers,0041600113,2017-04-20,CLE @ IND,W,240,39,87,0.448,21,44,0.477,20,30,0.667,8,32,40,23,6,7,8,23,119,5,1,Playoffs
33,42016,1610612754,IND,Indiana Pacers,0041600113,2017-04-20,IND vs. CLE,L,240,38,95,0.4,16,41,0.39,22,26,0.846,17,35,52,25,4,5,11,23,114,-5,1,Playoffs
34,42016,1610612749,MIL,Milwaukee Bucks,0041600123,2017-04-20,MIL vs. TOR,W,240,39,74,0.527,12,23,0.522,14,19,0.737,3,33,36,29,6,4,13,25,104,27,1,Playoffs
35,42016,1610612761,TOR,Toronto Raptors,0041600123,2017-04-20,TOR @ MIL,L,240,24,71,0.338,6,22,0.273,23,30,0.767,9,31,40,11,6,4,16,21,77,-27,1,Playoffs
36,42016,1610612759,SAS,San Antonio Spurs,0041600153,2017-04-20,SAS @ MEM,L,240,34,72,0.472,10,24,0.417,16,28,0.571,12,30,42,16,1,3,12,21,94,-11,1,Playoffs
37,42016,1610612763,MEM,Memphis Grizzlies,0041600153,2017-04-20,MEM vs. SAS,W,240,39,77,0.506,9,22,0.409,18,20,0.9,6,27,33,21,2,3,5,24,105,11,1,Playoffs
38,42016,1610612738,BOS,Boston Celtics,0041600103,2017-04-21,BOS @ CHI,W,240,41,86,0.477,17,37,0.459,5,7,0.714,7,30,37,34,11,2,13,12,104,17,1,Playoffs
39,42016,1610612741,CHI,Chicago Bulls,0041600103,2017-04-21,CHI vs. BOS,L,240,33,84,0.393,6,21,0.286,15,15,1.0,15,37,52,14,7,8,18,15,87,-17,1,Playoffs
40,42016,1610612746,LAC,LA Clippers,0041600173,2017-04-21,LAC @ UTA,W,240,41,75,0.547,7,19,0.368,22,33,0.667,9,32,41,16,8,3,8,20,111,5,1,Playoffs
41,42016,1610612762,UTA,Utah Jazz,0041600173,2017-04-21,UTA vs. LAC,L,240,36,69,0.522,14,34,0.412,20,29,0.69,3,24,27,16,5,2,11,26,106,-5,1,Playoffs
42,42016,1610612745,HOU,Houston Rockets,0041600163,2017-04-21,HOU @ OKC,L,240,38,83,0.458,10,35,0.286,27,33,0.818,11,31,42,10,4,6,16,24,113,-2,1,Playoffs
43,42016,1610612760,OKC,Oklahoma City Thunder,0041600163,2017-04-21,OKC vs. HOU,W,240,46,83,0.554,9,19,0.474,14,23,0.609,9,31,40,24,8,5,11,21,115,2,1,Playoffs
44,42016,1610612744,GSW,Golden State Warriors,0041600143,2017-04-22,GSW @ POR,W,240,40,91,0.44,12,36,0.333,27,35,0.771,6,36,42,25,11,11,7,19,119,6,1,Playoffs
45,42016,1610612757,POR,Portland Trail Blazers,0041600143,2017-04-22,POR vs. GSW,L,240,39,90,0.433,13,33,0.394,22,27,0.815,11,41,52,17,5,6,16,23,113,-6,1,Playoffs
46,42016,1610612737,ATL,Atlanta Hawks,0041600133,2017-04-22,ATL vs. WAS,W,240,44,89,0.494,9,25,0.36,19,32,0.594,11,39,50,26,6,5,12,17,116,18,1,Playoffs
47,42016,1610612764,WAS,Washington Wizards,0041600133,2017-04-22,WAS @ ATL,L,240,37,89,0.416,7,29,0.241,17,20,0.85,6,36,42,16,6,4,16,28,98,-18,1,Playoffs
48,42016,1610612761,TOR,Toronto Raptors,0041600124,2017-04-22,TOR @ MIL,W,240,33,80,0.413,5,22,0.227,16,17,0.941,4,37,41,16,11,6,13,19,87,11,1,Playoffs
49,42016,1610612749,MIL,Milwaukee Bucks,0041600124,2017-04-22,MIL vs. TOR,L,240,30,81,0.37,5,21,0.238,11,18,0.611,13,37,50,16,8,3,21,21,76,-11,1,Playoffs
50,42016,1610612759,SAS,San Antonio Spurs,0041600154,2017-04-22,SAS @ MEM,L,265,41,97,0.423,9,30,0.3,17,17,1.0,8,29,37,16,11,3,10,24,108,-2,1,Playoffs
51,42016,1610612763,MEM,Memphis Grizzlies,0041600154,2017-04-22,MEM vs. SAS,W,265,38,82,0.463,12,27,0.444,22,24,0.917,8,43,51,19,3,3,23,21,110,2,1,Playoffs
52,42016,1610612741,CHI,Chicago Bulls,0041600104,2017-04-23,CHI vs. BOS,L,240,32,76,0.421,5,24,0.208,26,33,0.788,12,32,44,19,5,3,12,23,95,-9,1,Playoffs
53,42016,1610612738,BOS,Boston Celtics,0041600104,2017-04-23,BOS @ CHI,W,240,38,82,0.463,10,37,0.27,18,22,0.818,11,31,42,22,7,4,13,24,104,9,1,Playoffs
54,42016,1610612739,CLE,Cleveland Cavaliers,0041600114,2017-04-23,CLE @ IND,W,240,37,90,0.411,9,31,0.29,23,27,0.852,15,33,48,11,9,8,13,15,106,4,1,Playoffs
55,42016,1610612754,IND,Indiana Pacers,0041600114,2017-04-23,IND vs. CLE,L,240,41,88,0.466,10,30,0.333,10,17,0.588,9,33,42,21,8,6,15,22,102,-4,1,Playoffs
56,42016,1610612762,UTA,Utah Jazz,0041600174,2017-04-23,UTA vs. LAC,W,240,40,74,0.541,10,22,0.455,15,21,0.714,7,35,42,24,7,3,13,17,105,7,1,Playoffs
57,42016,1610612746,LAC,LA Clippers,0041600174,2017-04-23,LAC @ UTA,L,240,33,75,0.44,11,32,0.344,21,29,0.724,6,25,31,17,8,0,9,18,98,-7,1,Playoffs
58,42016,1610612760,OKC,Oklahoma City Thunder,0041600164,2017-04-23,OKC vs. HOU,L,240,42,85,0.494,7,19,0.368,18,32,0.563,10,30,40,20,10,12,17,20,109,-4,1,Playoffs
