team_id,color_one,color_two,color_three,color_four,color_five,color_six,color_seven
1610612737,E03A3E,C1D32F,26282A,,,,
1610612738,007A33,BA9653,963821,E59E6D,000000,,
1610612739,6F263D,041E42,FFB81C,000000,,,
1610612740,0C2340,C8102E,85714D,,,,
1610612741,CE1141,000000,,,,,
1610612742,00538C,002B5E,B8C4CA,000000,,,
1610612743,0E2240,FEC524,8B2131,1D428A,,,
1610612744,006BB6,FDB927,26282A,,,,
1610612745,CE1141,000000,C4CED4,,,,
1610612746,C8102E,1D42BA,BEC0C2,000000,,,
1610612747,552583,FDB927,000000,,,,
1610612748,98002E,F9A01B,000000,,,,
1610612750,0C2340,236192,9EA2A2,78BE20,,,
1610612751,000000,FFFFFF,,,,,
1610612752,006BB6,F58426,BEC0C2,000000,,,
1610612753,0077C0,C4CED4,000000,,,,
1610612754,002D62,FDBB30,BEC0C2,,,,
1610612755,006BB6,ED174C,002B5C,C4CED4,,,
1610612756,1D1160,E56020,000000,63727A,F9AD1B,B95915,BEC0C2
1610612757,E03A3E,000000,,,,,
1610612758,5A2D81,63727A,000000,,,,
1610612759,C4CED4,000000,,,,,
1610612760,007AC1,EF3B24,002D62,FDBB30,,,
1610612749,00471B,EEE1C6,0077C0,000000,,,
1610612762,002B5C,00471B,F9A01B,,,,
1610612763,5D76A9,12173F,F5B112,707271,,,
1610612764,002B5C,E31837,C4CED4,,,,
1610612765,C8102E,006BB6,BEC0C2,002D62,,,
1610612766,1D1160,00788C,A1A1A4,,,,
1610612761,CE1141,000000,A1A1A4,B4975A,,,
